StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent question,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q1_8,Q1_9,Q1_10,Q1_11,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q2_11,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10,Q3_11,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q5_10,Q5_11,ID Question,PROLIFIC_PID
2025-10-05 07:28:44,2025-10-05 07:29:45,IP Address,24.198.118.76,100,60,True,2025-10-05 07:29:45,R_6qmBIsPzQ5zUtgf,,,,,43.2206,-76.815,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,90,94,75,80,80,90,76,100,75,91,91,,,,,,,,,,,,,,,,,,,,,,,,5f6388bf9ae5ad07ba1a0173
2025-10-05 07:29:07,2025-10-05 07:29:55,IP Address,23.127.212.198,100,47,True,2025-10-05 07:29:55,R_7FS1yqj1wFckJoY,,,,,36.0913,-80.3271,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,56,79,82,74,53,89,100,42,79,49,,,,,,,,,,,,,676f0bdedfb3362f560115f0
2025-10-05 07:29:00,2025-10-05 07:30:03,IP Address,71.8.72.30,100,62,True,2025-10-05 07:30:03,R_52JhIEgeUaE2r5Y,,,,,33.3555,-86.8274,anonymous,EN,I agree to participate,,,,,,,,,,,,12,84,52,1,4,8,100,100,100,56,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574450f63fdc69000e09555d
2025-10-05 07:29:32,2025-10-05 07:30:06,IP Address,73.224.193.176,100,34,True,2025-10-05 07:30:07,R_647VIHQYc9je4df,,,,,31.1805,-81.4961,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,51,84,70,54,94,71,100,59,42,63,,645906dc264ac9eb66b7f3ec
2025-10-05 07:29:21,2025-10-05 07:30:17,IP Address,107.194.96.123,100,55,True,2025-10-05 07:30:17,R_6Poa0FxbPpqgwKy,,,,,29.8772,-95.6938,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,100,100,50,100,50,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,5f5967d6e280e61b2db8e55c
2025-10-05 07:27:12,2025-10-05 07:30:18,IP Address,172.59.97.68,100,185,True,2025-10-05 07:30:18,R_7QRY5ATxnh9MZE9,,,,,43.0829,-87.9777,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,0,90,80,20,50,70,100,100,10,30,50,,,,,,,,,,,,,,,,,,,,,,,,628e0063fa56e316da2a71cb
2025-10-05 07:29:46,2025-10-05 07:30:22,IP Address,74.104.159.24,100,35,True,2025-10-05 07:30:22,R_3EcDIOJCXjAh3y9,,,,,42.4188,-71.1557,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,50,70,70,40,51,50,80,99,39,80,60,,,,,,,,,,,,,,,,,,,,,,,,6050ea8a95817a2bfddc9d09
2025-10-05 07:28:28,2025-10-05 07:30:22,IP Address,72.188.110.43,100,114,True,2025-10-05 07:30:23,R_6esjfB0QUnNlP8B,,,,,28.5464,-81.2585,anonymous,EN,I agree to participate,75,90,100,80,80,10,80,100,80,50,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6293930a73a8649bd00fc052
2025-10-05 07:29:12,2025-10-05 07:30:41,IP Address,174.201.104.41,100,89,True,2025-10-05 07:30:42,R_16bCuaimMHEn8sO,,,,,41.345,-96.256,anonymous,EN,I agree to participate,,,,,,,,,,,,100,59,,2,42,83,100,100,19,59,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65b929230cff388d15dd5c4c
2025-10-05 07:29:54,2025-10-05 07:30:44,IP Address,50.90.230.252,100,50,True,2025-10-05 07:30:45,R_74iSyuxLmkRTQAI,,,,,39.7932,-86.2132,anonymous,EN,I agree to participate,,,,,,,,,,,,56,33,77,7,29,6,68,100,11,57,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67ade0c7138bc5e2f5d72575
2025-10-05 07:29:51,2025-10-05 07:30:45,IP Address,12.74.212.26,100,54,True,2025-10-05 07:30:46,R_7ZNxXE542xeC4il,,,,,35.8334,-78.5799,anonymous,EN,I agree to participate,65,78,90,77,89,46,13,100,88,45,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6110d5e5c6ce466532978870
2025-10-05 07:28:35,2025-10-05 07:30:54,IP Address,98.169.78.181,100,139,True,2025-10-05 07:30:55,R_5KqDg3xzFRKqwKW,,,,,38.8463,-77.4667,anonymous,EN,I agree to participate,100,100,100,90,100,70,100,100,100,30,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5c75d4d6b80b460014bd0373
2025-10-05 07:30:46,2025-10-05 07:31:36,IP Address,73.73.149.161,100,50,True,2025-10-05 07:31:37,R_7fxzot6ocFjnCjh,,,,,39.8616,-88.9355,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,60,90,25,100,100,100,100,80,50,0,,570bc1ffb9b52b00102db939
2025-10-05 07:28:35,2025-10-05 07:31:38,IP Address,73.50.208.176,100,183,True,2025-10-05 07:31:39,R_1k19GviOYDLVbM2,,,,,41.7821,-87.6046,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,75,75,100,0,52,100,100,0,77,78,,,,,,,,,,,,,67dc489d382612526415e4b1
2025-10-05 07:30:49,2025-10-05 07:31:45,IP Address,98.15.103.244,100,56,True,2025-10-05 07:31:46,R_56maWcsXp8OghVg,,,,,40.705,-73.9038,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,80,100,100,80,40,100,100,98,80,0,,,,,,,,,,,,,5fb2041681fe9376804e1249
2025-10-05 07:31:08,2025-10-05 07:31:48,IP Address,206.255.203.69,100,40,True,2025-10-05 07:31:49,R_52KCABIr8x1c84o,,,,,35.2436,-91.7313,anonymous,EN,I agree to participate,96,75,100,43,94,85,62,100,100,15,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672065508b5071ee67b5fde2
2025-10-05 07:30:57,2025-10-05 07:31:54,IP Address,50.105.190.145,100,57,True,2025-10-05 07:31:54,R_7oqeZbQuEUWCZK9,,,,,43.8029,-90.0806,anonymous,EN,I agree to participate,50,84,22,51,88,28,12,100,15,20,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6372d1f14a6bd3713c1c0acf
2025-10-05 07:30:47,2025-10-05 07:32:06,IP Address,100.34.22.86,100,79,True,2025-10-05 07:32:07,R_5Pe3wWyqC1Ztxiw,,,,,39.6336,-75.701,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,100,100,100,51,100,100,0,100,49,,65c1679547aa1e88e5b59d24
2025-10-05 07:30:41,2025-10-05 07:32:24,IP Address,68.61.192.12,100,103,True,2025-10-05 07:32:25,R_7WD2NtbuAue6Bxf,,,,,42.6791,-84.5767,anonymous,EN,I agree to participate,,,,,,,,,,,,99,60,70,51,39,,12,100,71,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5d1e2045a37a4d001a1fc2cb
2025-10-05 07:31:36,2025-10-05 07:32:28,IP Address,100.11.100.162,100,52,True,2025-10-05 07:32:29,R_3lJHJhSuFBMCYAM,,,,,40.2363,-75.296,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,71,100,100,50,100,100,100,10,90,10,,,,,,,,,,,,,5fc7a6aaa7646c0009521161
2025-10-05 07:31:24,2025-10-05 07:32:29,IP Address,97.145.162.194,100,65,True,2025-10-05 07:32:30,R_7MYciTyTR9H0k81,,,,,39.2934,-75.6018,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,0,92,29,68,94,93,99,72,78,70,,645a9e5eb7c78e0ec07bfdc3
2025-10-05 07:30:55,2025-10-05 07:32:36,IP Address,113.20.53.75,100,100,True,2025-10-05 07:32:36,R_5CYtYzxPNXmuypH,,,,,39.0814,-77.6443,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,29,49,70,98,79,50,98,99,99,79,100,,,,,,,,,,,,,,,,,,,,,,,,67f1b8abe144ffdfc27d371a
2025-10-05 07:30:55,2025-10-05 07:32:36,IP Address,35.33.224.130,100,101,True,2025-10-05 07:32:37,R_107TaWCllJHs3b5,,,,,40.7126,-74.0066,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,75,84,83,55,83,98,100,71,89,53,,,,,,,,,,,,,5a86357bae9a0b0001a9f14e
2025-10-05 07:31:30,2025-10-05 07:32:38,IP Address,74.194.49.38,100,67,True,2025-10-05 07:32:39,R_70hXJrXUyU2m7zb,,,,,36.9177,-93.9237,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,37,86,100,63,52,87,100,100,90,80,83,,,,,,,,,,,,,,,,,,,,,,,,62ee9edcdeda96030b1d61f0
2025-10-05 07:31:42,2025-10-05 07:32:45,IP Address,76.36.9.132,100,62,True,2025-10-05 07:32:45,R_7rMMsp1nUlA4tys,,,,,35.1362,-80.7673,anonymous,EN,I agree to participate,,,,,,,,,,,,51,56,0,0,0,30,43,100,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,583b397f54686200010f1d20
2025-10-05 07:31:48,2025-10-05 07:33:00,IP Address,172.56.219.53,100,71,True,2025-10-05 07:33:00,R_7OGiiDd2eCjYidj,,,,,40.0378,-75.0693,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,71,88,40,58,52,89,86,100,89,100,87,,,,,,,,,,,,,,,,,,,,,,,,5c794023c44ec600161822b0
2025-10-05 07:32:11,2025-10-05 07:33:03,IP Address,174.85.77.35,100,51,True,2025-10-05 07:33:03,R_7jXDvswhceSHHgZ,,,,,37.1357,-121.6502,anonymous,EN,I agree to participate,70,79,81,60,80,80,71,100,60,70,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6060ddd26de46b745d90990c
2025-10-05 07:31:48,2025-10-05 07:33:09,IP Address,172.56.210.202,100,80,True,2025-10-05 07:33:10,R_7jcEjCRZqrqqnCv,,,,,36.115,-115.2165,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,75,20,0,100,100,100,100,35,0,0,,6612b3449105fbfa6c67d9c1
2025-10-05 07:31:55,2025-10-05 07:33:12,IP Address,76.125.133.205,100,76,True,2025-10-05 07:33:12,R_71buUGgE7rSKMK4,,,,,40.4616,-80.0661,anonymous,EN,I agree to participate,,,,,,,,,,,,100,60,80,1,70,80,100,99,80,89,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6606ce9c3523446ed5777300
2025-10-05 07:32:37,2025-10-05 07:33:25,IP Address,167.187.101.175,100,48,True,2025-10-05 07:33:25,R_7qPkguQcsm8HIqJ,,,,,37.751,-97.822,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,0,100,81,56,11,81,100,10,80,14,,,,,,,,,,,,,610813ebfdb1b78559fb1ff9
2025-10-05 07:32:49,2025-10-05 07:33:41,IP Address,172.56.90.228,100,52,True,2025-10-05 07:33:42,R_6TzsN5IxbTkTnX3,,,,,29.4698,-98.5357,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,100,100,99,32,10,100,100,4,100,71,,,,,,,,,,,,,615a3aff99c738f7dd86fded
2025-10-05 07:33:11,2025-10-05 07:34:05,IP Address,71.204.122.28,100,53,True,2025-10-05 07:34:05,R_15YjmPi9liEoZDd,,,,,33.8683,-84.7736,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,75,75,41,14,100,95,100,80,84,0,,647f2d441bd745bf64c3d076
2025-10-05 07:33:52,2025-10-05 07:34:27,IP Address,47.7.40.13,100,35,True,2025-10-05 07:34:28,R_16gusgsbGLpd40G,,,,,40.5482,-122.3367,anonymous,EN,I agree to participate,,,,,,,,,,,,81,90,69,80,61,70,60,100,80,80,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f2f21ab32376614a22ffdff
2025-10-05 07:34:22,2025-10-05 07:35:07,IP Address,174.224.177.252,100,44,True,2025-10-05 07:35:07,R_6L7tBD5GlUTAzD3,,,,,41.9211,-71.435,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,59,33,56,52,70,61,73,100,30,68,58,,,,,,,,,,,,,,,,,,,,,,,,5ff591cba89e1b000bfb9852
2025-10-05 07:33:03,2025-10-05 07:35:07,IP Address,174.107.200.181,100,124,True,2025-10-05 07:35:08,R_51hxQgGcCp8Ap1L,,,,,33.9739,-81.2345,anonymous,EN,I agree to participate,30,80,80,90,80,70,10,100,80,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5c28dd50da51990001e31d86
2025-10-05 07:34:33,2025-10-05 07:35:16,IP Address,107.203.245.15,100,43,True,2025-10-05 07:35:16,R_3gRxinooadgB5QJ,,,,,26.9861,-80.1062,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,60,56,74,73,44,78,100,25,83,54,,,,,,,,,,,,,614e6f4f00a9e94b123316d3
2025-10-05 07:34:53,2025-10-05 07:35:34,IP Address,172.59.185.60,100,40,True,2025-10-05 07:35:34,R_7sYwWyLaSeYcPaV,,,,,41.8835,-87.6305,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,82,82,29,31,11,94,85,100,30,90,97,,,,,,,,,,,,,,,,,,,,,,,,6757069f8e2b810b4fabd66b
2025-10-05 07:34:46,2025-10-05 07:35:54,IP Address,174.105.217.168,100,67,True,2025-10-05 07:35:54,R_1YVQRfGAPZvzJW4,,,,,40.0732,-82.4017,anonymous,EN,I agree to participate,6,77,100,54,90,6,57,100,100,54,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ef8056622eb1d5524930d35
2025-10-05 07:34:52,2025-10-05 07:36:14,IP Address,107.77.226.191,100,81,True,2025-10-05 07:36:14,R_6E08QqcdStRtj17,,,,,40.7126,-74.0066,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,48,79,19,43,0,100,70,100,11,100,87,,,,,,,,,,,,,,,,,,,,,,,,66296a13adb9393903a9cc1a
2025-10-05 07:35:04,2025-10-05 07:36:18,IP Address,99.102.153.190,100,73,True,2025-10-05 07:36:18,R_1Gd2gDxhv9o60YD,,,,,30.2296,-81.8124,anonymous,EN,I agree to participate,,,,,,,,,,,,20,100,0,60,100,100,0,100,100,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5cb67a7ab73e8a001507fae5
2025-10-05 07:34:44,2025-10-05 07:36:36,IP Address,74.137.206.210,100,112,True,2025-10-05 07:36:37,R_1nc5LoG3EtaWQGg,,,,,41.4517,-82.0354,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,75,100,60,100,100,100,0,,65293c257003399b27cc1eb5
2025-10-05 07:36:14,2025-10-05 07:36:45,IP Address,108.51.84.9,100,31,True,2025-10-05 07:36:45,R_71mZGBKnIWsodng,,,,,38.9091,-77.0203,anonymous,EN,I agree to participate,,,,,,,,,,,,72,74,60,39,63,41,69,100,73,52,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62c79dafb9222348d5e5a90c
2025-10-05 07:36:03,2025-10-05 07:37:03,IP Address,108.39.138.211,100,59,True,2025-10-05 07:37:03,R_6fJ23RUqKTU2dtD,,,,,40.5457,-80.0508,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,70,100,51,80,50,100,100,60,50,49,,66ef212cf79668f34be612d8
2025-10-05 07:36:12,2025-10-05 07:37:07,IP Address,69.69.190.53,100,54,True,2025-10-05 07:37:07,R_5dhqpSHy3MBGbg0,,,,,36.2946,-76.996,anonymous,EN,I agree to participate,,,,,,,,,,,,0,100,0,0,99,100,50,99,80,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65d0b965045891ca868a35a2
2025-10-05 07:36:24,2025-10-05 07:37:18,IP Address,73.150.72.5,100,54,True,2025-10-05 07:37:18,R_61bB8WWYkHkDDcA,,,,,39.9111,-74.1469,anonymous,EN,I agree to participate,70,40,99,80,90,70,30,100,80,10,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5dc807ff27a267592c6129f5
2025-10-05 07:36:31,2025-10-05 07:37:50,IP Address,174.63.70.232,100,78,True,2025-10-05 07:37:50,R_5jVLJrnwat8QcHT,,,,,39.997,-105.0974,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,40,90,55,50,92,80,100,80,50,21,,667af145fa8225b6be0e79b8
2025-10-05 07:36:53,2025-10-05 07:37:58,IP Address,69.248.179.94,100,65,True,2025-10-05 07:37:59,R_7eXhCFuqJxn2fXF,,,,,40.7881,-74.675,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,63,93,63,11,56,74,100,0,99,68,,,,,,,,,,,,,60c2d24ec38313ef7ac18471
2025-10-05 07:36:49,2025-10-05 07:38:07,IP Address,24.2.235.219,100,78,True,2025-10-05 07:38:08,R_7ObGrwEjXbpfRfz,,,,,41.2905,-72.39,anonymous,EN,I agree to participate,66,88,86,48,92,24,73,100,88,16,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66687940b6066d0b32735285
2025-10-05 07:36:49,2025-10-05 07:38:11,IP Address,104.230.137.202,100,81,True,2025-10-05 07:38:11,R_5S3udxBZCHQgImK,,,,,38.1405,-85.6936,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,79,100,5,4,76,57,80,100,100,51,36,,,,,,,,,,,,,,,,,,,,,,,,66ae09b41fe460731834c749
2025-10-05 07:37:31,2025-10-05 07:38:49,IP Address,73.214.146.111,100,78,True,2025-10-05 07:38:50,R_7GH4QcoRm5JwGEz,,,,,40.5662,-79.7078,anonymous,EN,I agree to participate,,,,,,,,,,,,85,94,31,60,54,94,98,98,95,75,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5a8d1e105292b800012342c9
2025-10-05 07:36:50,2025-10-05 07:38:55,IP Address,24.181.132.178,100,124,True,2025-10-05 07:38:55,R_7db0AwwhGlOnJ7X,,,,,46.1879,-123.8312,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,64,66,77,64,65,38,100,50,66,24,,57c725d89a5f4f0001f661bd
2025-10-05 07:31:57,2025-10-05 07:39:01,IP Address,107.3.8.65,100,424,True,2025-10-05 07:39:01,R_7FEunRtTuXUH6Ve,,,,,41.2723,-75.8887,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,82,92,71,36,67,66,75,100,74,2,54,,,,,,,,,,,,,,,,,,,,,,,,61283769a39dd638c256540c
2025-10-05 07:37:51,2025-10-05 07:39:09,IP Address,73.178.105.110,100,77,True,2025-10-05 07:39:09,R_3ceAHtswFCs4Trb,,,,,40.7718,-74.2098,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,8,100,60,0,11,71,100,9,70,61,,,,,,,,,,,,,5f4f9bc1f7598f06b2dc816f
2025-10-05 07:37:31,2025-10-05 07:39:16,IP Address,172.59.113.82,100,105,True,2025-10-05 07:39:17,R_5DOycjXzz95U0qa,,,,,36.8797,-76.2644,anonymous,EN,I agree to participate,7,68,73,55,90,49,10,99,29,37,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66d7a63854decf633f48f674
2025-10-05 07:38:28,2025-10-05 07:39:17,IP Address,174.103.214.162,100,49,True,2025-10-05 07:39:17,R_7emJRqhefE2HZGR,,,,,44.2433,-88.3564,anonymous,EN,I agree to participate,100,79,41,90,69,31,20,100,60,1,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ba849b3a2a1ae0001f08d2d
2025-10-05 07:38:21,2025-10-05 07:39:29,IP Address,75.35.120.18,100,68,True,2025-10-05 07:39:29,R_1jfGXhVI3cf00zG,,,,,39.8304,-89.6498,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,51,100,87,100,55,1,100,84,62,24,,66300ffbe8b4fb98a38b63fa
2025-10-05 07:37:57,2025-10-05 07:39:45,IP Address,66.229.111.35,100,108,True,2025-10-05 07:39:45,R_3c5Yxqjt2luXDcq,,,,,26.3898,-80.2145,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,100,100,25,90,100,100,76,100,90,90,100,,,,,,,,,,,,,,,,,,,,,,,,674cca92742faa4642a6e9c7
2025-10-05 07:38:51,2025-10-05 07:39:58,IP Address,174.80.187.195,100,66,True,2025-10-05 07:39:58,R_1MoHPWqP4edG8hj,,,,,33.7295,-84.9298,anonymous,EN,I agree to participate,,,,,,,,,,,,100,74,50,29,66,2,100,100,56,100,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66d4bd9cfd101c61cccd72fa
2025-10-05 07:39:14,2025-10-05 07:40:08,IP Address,99.53.203.214,100,54,True,2025-10-05 07:40:09,R_55OttMWwJPJ8eVr,,,,,32.7255,-96.6233,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,11,0,79,0,10,55,100,10,42,2,,,,,,,,,,,,,60fab1b96bd45f60d1b053dc
2025-10-05 07:39:07,2025-10-05 07:40:16,IP Address,172.58.240.74,100,69,True,2025-10-05 07:40:17,R_5bPvXYZHSP5OVX3,,,,,39.0005,-76.9712,anonymous,EN,I agree to participate,79,100,100,85,82,39,71,100,90,90,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ad6b454a9ea0500019a087a
2025-10-05 07:39:04,2025-10-05 07:40:40,IP Address,73.224.26.143,100,95,True,2025-10-05 07:40:40,R_32EfARvKfmVtlqO,,,,,30.2903,-81.5092,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,55,79,89,100,89,91,100,90,82,0,,656a1cf88a3cf09f538c6f25
2025-10-05 07:39:58,2025-10-05 07:40:43,IP Address,107.209.127.208,100,44,True,2025-10-05 07:40:43,R_3Ic20i8uwQFf5ZN,,,,,33.9673,-81.0707,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,28,70,58,73,87,85,100,28,76,35,,66587c4637981e408edaf59a
2025-10-05 07:39:57,2025-10-05 07:40:57,IP Address,174.163.120.221,100,59,True,2025-10-05 07:40:58,R_1jl9upcwsTABOjp,,,,,34.126,-84.5752,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,25,73,10,40,75,60,61,100,26,10,55,,,,,,,,,,,,,,,,,,,,,,,,663a7dc83986ee24fb6ec0e6
2025-10-05 07:39:25,2025-10-05 07:41:01,IP Address,113.20.53.151,100,96,True,2025-10-05 07:41:02,R_3IFOQIcwequgM8p,,,,,39.0814,-77.6443,anonymous,EN,I agree to participate,,,,,,,,,,,,52,50,70,20,30,69,39,99,29,60,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67df2438f087a74ea30f779b
2025-10-05 07:39:31,2025-10-05 07:41:08,IP Address,75.242.152.132,100,97,True,2025-10-05 07:41:08,R_5LzJLbZ5T0LAhWN,,,,,39.7933,-84.218,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,86,100,100,90,50,70,100,26,100,70,,,,,,,,,,,,,5bebd4111296920001d55c5a
2025-10-05 07:38:51,2025-10-05 07:41:10,IP Address,86.109.83.168,100,138,True,2025-10-05 07:41:10,R_3KydvEaMhFLo5d7,,,,,37.8117,-80.4434,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,60,100,89,99,90,61,100,100,99,100,60,,,,,,,,,,,,,,,,,,,,,,,,67cf0c70aa43b13b6168ecbf
2025-10-05 07:40:14,2025-10-05 07:41:12,IP Address,209.160.232.11,100,58,True,2025-10-05 07:41:13,R_5trQjGbcnyhIpTV,,,,,28.0768,-82.446,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,42,100,79,39,100,100,100,51,59,63,,6753423702f6ca2774a506bf
2025-10-05 07:40:14,2025-10-05 07:41:21,IP Address,24.52.64.230,100,66,True,2025-10-05 07:41:21,R_1Vfoh4Lx9qp2TYJ,,,,,41.4425,-82.7011,anonymous,EN,I agree to participate,,,,,,,,,,,,60,30,0,0,50,0,79,100,70,40,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60f4a96fa040aaa9bac2fb0b
2025-10-05 07:40:31,2025-10-05 07:41:22,IP Address,216.254.241.184,100,50,True,2025-10-05 07:41:23,R_5C1mJrRWE2P9hV2,,,,,43.5229,-96.786,anonymous,EN,I agree to participate,,,,,,,,,,,,88,87,84,70,67,37,90,99,76,82,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5cd8a78e0f0de600018e782f
2025-10-05 07:40:48,2025-10-05 07:41:28,IP Address,98.218.242.85,100,40,True,2025-10-05 07:41:28,R_71iQ54QpnEUbQ3A,,,,,39.3086,-77.6278,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,51,99,99,99,51,91,12,100,87,24,15,,,,,,,,,,,,,,,,,,,,,,,,65ee154afdaf7eac7d0144c0
2025-10-05 07:40:47,2025-10-05 07:41:36,IP Address,75.177.99.185,100,49,True,2025-10-05 07:41:37,R_1GtX2roPTnEOyjv,,,,,36.4995,-80.616,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,51,100,100,,,,,,,,,,,,,,,,,,,,,,,,662954f2cb1bde784c9a4ad4
